SalePrice,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,SqFtFinBasement,SqFtTotLiving_sqrt,x0_Floor_Wall,x0_Gravity,x0_Heat_Pump,x0_Hot_Water,x0_NA,x0_Other,x0_Radiant
560000.0,180,0,0,0,43.93176527297759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435000.0,45,0,0,0,44.44097208657794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380000.0,670,0,0,460,41.83300132670378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930000.0,370,0,0,0,50.79370039680118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400000.0,60,0,0,1250,50.39841267341661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
785000.0,0,0,110,350,39.242833740697165,1.0,0.0,0.0,0.0,0.0,0.0,0.0
780000.0,0,0,180,1000,48.16637831516918,0.0,0.0,1.0,0.0,0.0,0.0,0.0
775000.0,0,0,0,1040,45.60701700396552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409950.0,0,0,140,600,43.01162633521314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810000.0,0,0,680,440,45.16635916254486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615000.0,0,0,0,150,32.863353450309965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655000.0,60,0,0,0,30.331501776206203,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1035000.0,630,0,550,0,63.166446789415026,0.0,0.0,1.0,0.0,0.0,0.0,0.0
475000.0,150,0,0,0,46.69047011971501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342000.0,0,0,0,0,35.4964786985977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590000.0,0,0,150,0,39.87480407475377,1.0,0.0,0.0,0.0,0.0,0.0,0.0
460000.0,60,0,0,0,47.644516998286385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535000.0,50,0,0,0,46.216880033165374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800000.0,0,0,120,680,45.05552130427524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685000.0,110,0,120,0,44.721359549995796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748000.0,200,0,0,0,57.96550698475775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900000.0,200,0,0,0,53.94441583704471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1135000.0,150,0,450,870,67.60177512462228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390000.0,100,0,0,0,44.04543109109048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490000.0,120,0,0,720,40.24922359499622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650000.0,0,0,0,0,50.59644256269407,0.0,0.0,1.0,0.0,0.0,0.0,0.0
396000.0,0,0,0,0,37.282703764614496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065000.0,140,0,1550,1570,80.49844718999243,0.0,0.0,1.0,0.0,0.0,0.0,0.0
465000.0,0,0,260,600,43.01162633521314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629990.0,0,0,900,0,49.69909455915671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610000.0,0,0,0,0,35.63705936241092,1.0,0.0,0.0,0.0,0.0,0.0,0.0
599000.0,0,0,130,1320,51.38093031466052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425000.0,0,0,0,0,42.89522117905443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552000.0,0,0,230,570,41.83300132670378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415000.0,0,0,100,520,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
775000.0,0,0,60,0,51.478150704935004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
732500.0,0,0,580,1270,62.20932405998316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450000.0,0,0,230,0,34.058772731852805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900000.0,0,0,0,860,46.04345773288535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483650.0,0,0,0,0,38.47076812334269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464000.0,55,0,0,0,39.242833740697165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685000.0,0,0,0,0,38.98717737923585,1.0,0.0,0.0,0.0,0.0,0.0,0.0
579000.0,110,0,90,0,40.74309757492672,1.0,0.0,0.0,0.0,0.0,0.0,0.0
906000.0,0,0,180,0,54.405882034941776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350000.0,0,0,0,0,33.91164991562634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
975000.0,0,0,0,970,52.53570214625479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225000.0,140,0,0,0,30.983866769659336,0.0,0.0,0.0,0.0,0.0,0.0,1.0
670000.0,0,0,100,530,40.74309757492672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356000.0,0,0,0,0,32.4037034920393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519950.0,0,0,130,700,45.71651780264984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372000.0,0,80,280,0,37.416573867739416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455000.0,0,0,160,0,38.72983346207417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280000.0,510,0,390,0,65.72670690061993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700000.0,0,0,0,0,45.4972526643093,0.0,0.0,0.0,1.0,0.0,0.0,0.0
619000.0,0,0,0,80,35.77708763999664,0.0,0.0,0.0,1.0,0.0,0.0,0.0
820000.0,0,0,0,880,53.103672189407014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782000.0,0,0,0,700,46.04345773288535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
899000.0,0,0,0,720,44.49719092257398,1.0,0.0,0.0,0.0,0.0,0.0,0.0
478000.0,0,0,200,430,42.661458015403085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
